archive,date,camera,task,footage,timestamps
YT,22-04-26,C5223,task-loop-attachment,GX024831.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX034829.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX034831.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX044829.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX044831.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX054829.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX054831.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX064829.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX064831.MP4,
YT,22-04-26,C5223,task-loop-preparation,GX014830.MP4,
YT,22-04-26,C5223,task-loop-preparation,GX024830.MP4,
YT,22-04-26,C5223,task-loop-preparation,GX034830.MP4,
YT,22-04-26,C5223,task-loop-preparation,GX044830.MP4,
YT,22-04-26,C5223,task-loop-preparation,GX054830.MP4,
YT,22-04-26,C5223,task-loop-preparation,GX064830.MP4,
YT,22-04-26,C5523,task-back-attachment,GX010608.MP4,
YT,22-04-26,C5523,task-back-attachment,GX020608.MP4,
YT,22-04-26,C5523,task-back-attachment,GX030608.MP4,
YT,22-04-26,C5523,task-back-attachment,GX040608.MP4,
YT,22-04-26,C5523,task-back-attachment,GX050608.MP4,
YT,22-04-26,C5523,task-back-attachment,GX060608.MP4,
YT,22-04-26,C5523,task-back-attachment,GX070608.MP4,
YT,22-04-26,C5523,task-back-attachment,GX080608.MP4,
YT,22-04-26,C5523,task-edge-hemming,GX010607.MP4,
YT,22-04-26,C5523,task-edge-hemming,GX020607.MP4,
YT,22-04-26,C5523,task-edge-hemming,GX030607.MP4,
YT,22-04-26,C5523,task-edge-hemming,GX040607.MP4,
YT,22-04-26,C5523,task-edge-hemming,GX050607.MP4,
YT,22-04-26,C5670,task-edge-hemming,GX010040.MP4,
YT,22-04-26,C5670,task-edge-hemming,GX020040.MP4,
YT,22-04-26,C5670,task-edge-hemming,GX030040.MP4,
YT,22-04-26,C5670,task-edge-hemming,GX040040.MP4,
YT,22-04-26,C5670,task-edge-hemming,GX050040.MP4,
YT,22-04-26,C5670,task-edge-hemming,GX060040.MP4,
YT,22-04-26,C5670,task-loop-attachment,GX010038.MP4,
YT,22-04-26,C5670,task-loop-attachment,GX010039.MP4,
YT,22-04-26,C5670,task-loop-attachment,GX020038.MP4,
YT,22-04-26,C5670,task-loop-attachment,GX020039.MP4,
YT,22-04-26,C5670,task-loop-attachment,GX030038.MP4,
YT,22-04-26,C5670,task-loop-attachment,GX030039.MP4,
YT,22-04-26,C5670,task-loop-attachment,GX040038.MP4,
YT,22-04-26,C5670,task-loop-attachment,GX040039.MP4,
YT,22-04-26,C5670,task-loop-attachment,GX050038.MP4,
YT,22-04-26,C6180,task-checking,GX010290.MP4,
YT,22-04-26,C6180,task-checking,GX020290.MP4,
YT,22-04-26,C6180,task-folding-general,GX010292.MP4,
YT,22-04-26,C6180,task-folding-general,GX020292.MP4,
YT,22-04-26,C6180,task-safety-sticker,GX010291.MP4,
YT,22-04-26,C6180,task-safety-sticker,GX020291.MP4,
YT,22-04-26,C6180,task-stitching,GX010289.MP4,
YT,22-04-26,C6180,task-stitching,GX020289.MP4,
YT,22-04-26,C6180,task-stitching,GX030289.MP4,
YT,22-04-26,C6273,task-button-attachment,GX010110.MP4,
YT,22-04-26,C6273,task-button-attachment,GX010111.MP4,
YT,22-04-26,C6273,task-button-attachment,GX020110.MP4,
YT,22-04-26,C6273,task-button-attachment,GX020111.MP4,
YT,22-04-26,C6273,task-safety-sticker,GX010112.MP4,
YT,22-04-26,C6273,task-safety-sticker,GX020112.MP4,
YT,22-04-26,C6279,task-loop-attachment,GX014832.MP4,
YT,22-04-26,C6279,task-loop-attachment,GX014833.MP4,
YT,22-04-26,C6279,task-loop-attachment,GX024832.MP4,
YT,22-04-26,C6279,task-loop-attachment,GX024833.MP4,
YT,22-04-26,C6279,task-loop-attachment,GX034832.MP4,
YT,22-04-26,C6279,task-loop-attachment,GX034833.MP4,
YT,22-04-26,C6279,task-loop-attachment,GX044833.MP4,
YT,22-04-26,C6279,task-loop-attachment,GX054833.MP4,
YT,22-04-26,C6279,task-overlock,GX014834.MP4,
YT,22-04-26,C6279,task-overlock,GX024834.MP4,
YT,22-04-26,C6279,task-overlock,GX034834.MP4,
YT,22-04-26,C7783,task-binding-pre-folding,GX010070.MP4,
YT,22-04-26,C7783,task-binding-pre-folding,GX020070.MP4,
YT,22-04-26,C7783,task-binding-pre-folding,GX030070.MP4,
YT,22-04-26,C7783,task-binding-pre-folding,GX040070.MP4,
YT,22-04-26,C7783,task-binding-pre-folding,GX050070.MP4,
YT,22-04-26,C7783,task-binding-pre-folding,GX060070.MP4,
YT,22-04-26,C7783,task-binding-pre-folding,GX070070.MP4,
YT,22-04-26,C7783,task-checking,GX010072.MP4,
YT,22-04-26,C7783,task-checking,GX020072.MP4,
YT,22-04-26,C7783,task-checking,GX030072.MP4,
YT,22-04-26,C7783,task-checking,GX040072.MP4,
YT,22-04-26,C7783,task-checking,GX050072.MP4,
YT,22-04-26,C7783,task-checking,GX060072.MP4,
YT,22-04-26,C7783,task-checking,GX070072.MP4,
YT,22-04-26,C7783,task-checking,GX080072.MP4,
YT,22-04-26,C7783,task-checking,GX090072.MP4,
YT,22-04-26,C7783,task-label-attachment,GX010071.MP4,
YT,22-04-26,C7783,task-label-attachment,GX020071.MP4,
YT,22-04-26,C7783,task-label-attachment,GX030071.MP4,
YT,22-04-26,C7783,task-label-attachment,GX040071.MP4,
YT,22-04-26,C7783,task-label-attachment,GX050071.MP4,
YT,22-04-26,C7997,task-checking,GX010886.MP4,
YT,22-04-26,C7997,task-checking,GX020886.MP4,
YT,22-04-26,C7997,task-checking,GX030886.MP4,
YT,22-04-26,C7997,task-checking,GX040886.MP4,
YT,22-04-26,C7997,task-checking,GX050886.MP4,
YT,22-04-26,C8090,task-binding-pre-fold,GX010025.MP4,
YT,22-04-26,C8090,task-binding-pre-fold,GX020025.MP4,
YT,22-04-26,C8090,task-binding-pre-fold,GX030025.MP4,
YT,22-04-26,C8090,task-label-attachment,GX010026.MP4,
YT,22-04-26,C8090,task-label-attachment,GX020026.MP4,
YT,22-04-26,C8090,task-loop-attachment,GX020027.MP4,
YT,22-04-26,C8090,task-loop-attachment,GX030027.MP4,
YT,22-04-26,C8610,task-label-attachment,GX020032.MP4,
YT,22-04-26,C8610,task-label-attachment,GX050032.MP4,
YT,22-04-26,C8610,task-label-attachment,GX070032.MP4,
